name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Campus Men's OXYFIT (N) Walking Shoe,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61ePa5fEKnL._AC_UL320_.jpg,https://www.amazon.in/Campus-OXYFIT-Walking-Shoes-India/dp/B09RPPR4S2/ref=sr_1_121?qid=1679218369&s=sports&sr=1-121,4.1,"30,227",₹648,₹999
SPOKOFIT Finger Gripper Strength Trainer Forearm Exerciser Hand Yoga Resistance Band Exerciser Climbing,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61QE6BcCq3L._AC_UL320_.jpg,https://www.amazon.in/SPOKOFIT-Strength-Exerciser-Resistance-Climbing/dp/B0BM23T9NJ/ref=sr_1_122?qid=1679218369&s=sports&sr=1-122,3.5,50,₹129,₹699
Baggit Women's PEPSI Sling Bag,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51ujEx4nYiL._AC_UL320_.jpg,https://www.amazon.in/Baggit-Womens-Hobo-Handbag-Green/dp/B097C2T2DS/ref=sr_1_123?qid=1679218369&s=sports&sr=1-123,4.3,"2,065",₹649,"₹1,599"
Lista Lista002 Bicycle Silicone Saddle Seat and Cycling Cushion Pad Bike Gel Cover,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51gqOgzMwJS._AC_UL320_.jpg,https://www.amazon.in/Quality-Bicycle-Silicone-Cycling-Cushion/dp/B00RV3CLVU/ref=sr_1_124?qid=1679218369&s=sports&sr=1-124,3.6,"6,580",₹205,₹999
"Amazon Brand - Solimo Pre-Seasoned Cast Iron Dosa Tawa, 12 Inches (30 cm), Black",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81r0JyulzDL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Pre-Seasoned-Inches/dp/B08FS2Q6SX/ref=sr_1_125?qid=1679218369&s=sports&sr=1-125,3.9,"3,890",₹899,"₹1,800"
"Amazon Brand - Solimo Non Stick Kadhai with Glass Lid (26 cm, Hammertone finish, 3 coat, 2.9mm thickness), Aluminium, Black",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81MzgBfzUhL._AC_UL320_.jpg,https://www.amazon.in/Solimo-Aluminium-Cookware-3-Pieces-SONSC59/dp/B07P913VF3/ref=sr_1_126?qid=1679218369&s=sports&sr=1-126,4.0,"4,684",₹849,"₹1,440"
QUPET Imported Portable High Pressure Foot Air Pump Compressor for Car and Bike Air Pump for Motorbike Cars Bicycle for Fo...,sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61AsmkX5nmL._AC_UL320_.jpg,https://www.amazon.in/Portable-Pressure-Compressor-Motorbike-Football/dp/B09QXN7GK5/ref=sr_1_127?qid=1679218369&s=sports&sr=1-127,4.0,"2,929",₹474,"₹1,299"
"SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue)",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91Ov-x9d3qL._AC_UL320_.jpg,https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07ZC77WTW/ref=sr_1_128?qid=1679218369&s=sports&sr=1-128,4.3,"3,147",₹435,"₹1,395"
"Strauss Bicycle Flash Tail Light with Laser, (Black)",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61j2cEs+tPL._AC_UL320_.jpg,https://www.amazon.in/Strauss-Bicycle-Flash-Light-Laser/dp/B07GKZZYNT/ref=sr_1_129?qid=1679218369&s=sports&sr=1-129,3.7,"5,117",₹179.50,₹499
"Cockatoo YM100 Yoga Mat For Women & Men, Anti Slip, EVA Material, (4mm-6mm) Exercise Mat For Home Gym |Yoga Mat For Gym Wo...",sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Y5C+puYhL._AC_UL320_.jpg,https://www.amazon.in/Cockatoo-Material-4mm-6mm-Exercise-Workout/dp/B0BRQJTFMV/ref=sr_1_130?qid=1679218369&s=sports&sr=1-130,3.6,27,₹199,₹599
